antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Irrigation_Used'}),"frozenset({'Yield_Category_High', 'Harvest_Time_Category_Medium Harvest'})",0.499908,0.219194,0.13966,0.27937140433839824,1.2745394688650156,1.0,0.030083165848,1.083506822655504,0.43072650098513904,0.24102498610732395,0.07707087847480455,0.4582619405698853
"frozenset({'Yield_Category_High', 'Harvest_Time_Category_Medium Harvest'})",frozenset({'Fertilizer_Used'}),0.219194,0.498874,0.14873,0.6785313466609487,1.3601256963901682,1.0,0.039379812444000004,1.558864277418256,0.3391032276403822,0.26123322174174224,0.35850733480391905,0.4883313692777476
"frozenset({'Fertilizer_Used', 'Harvest_Time_Category_Medium Harvest'})",frozenset({'Yield_Category_High'}),0.27144,0.40344,0.14873,0.5479295608605953,1.3581438649132345,1.0,0.03922024639999999,1.319617361258251,0.36194819590759164,0.2826760429535304,0.24220457432713438,0.45829206577632187
frozenset({'Yield_Category_High'}),"frozenset({'Fertilizer_Used', 'Harvest_Time_Category_Medium Harvest'})",0.40344,0.27144,0.14873,0.3686545706920484,1.3581438649132345,1.0,0.03922024639999999,1.15398000235562,0.4420359689057848,0.2826760429535304,0.13343385677507463,0.45829206577632187
frozenset({'Fertilizer_Used'}),"frozenset({'Yield_Category_High', 'Harvest_Time_Category_Medium Harvest'})",0.498874,0.219194,0.14873,0.2981313918945465,1.3601256963901682,1.0,0.039379812444000004,1.1124674775063974,0.5283578077389246,0.26123322174174224,0.1010973172523604,0.4883313692777476
"frozenset({'Yield_Category_High', 'Harvest_Time_Category_Medium Harvest', 'Rainfall_Category_Moderate Rainfall'})",frozenset({'Irrigation_Used'}),0.19348,0.499908,0.115686,0.597922265867273,1.1960646076223485,1.0,0.01896380015999999,1.2437694444301615,0.20324947086051323,0.2002520330551045,0.1959924691202279,0.4146684230750225
"frozenset({'Yield_Category_High', 'Irrigation_Used', 'Harvest_Time_Category_Medium Harvest'})",frozenset({'Rainfall_Category_Moderate Rainfall'}),0.13966,0.555344,0.115686,0.8283402549047687,1.4915804526649585,1.0,0.038126656960000005,2.5903335680320345,0.38306970459504097,0.19969343262249747,0.6139493336529108,0.5183271904619784
"frozenset({'Harvest_Time_Category_Medium Harvest', 'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})",frozenset({'Yield_Category_High'}),0.14998,0.40344,0.115686,0.7713428457127617,1.9119146483064684,1.0,0.055178068799999994,2.6089715052195714,0.5611210317080059,0.26428378878496983,0.6167071974533352,0.5290459023328828
"frozenset({'Yield_Category_High', 'Rainfall_Category_Moderate Rainfall'})","frozenset({'Irrigation_Used', 'Harvest_Time_Category_Medium Harvest'})",0.356188,0.2714,0.115686,0.3247891562882523,1.1967175987039511,1.0,0.019016576800000004,1.0790703478557353,0.2553244878554316,0.2259924751221913,0.07327636053836441,0.3755228021677076
"frozenset({'Yield_Category_High', 'Irrigation_Used'})","frozenset({'Harvest_Time_Category_Medium Harvest', 'Rainfall_Category_Moderate Rainfall'})",0.257628,0.301496,0.115686,0.4490428059061903,1.4893822999515427,1.0,0.038012188512,1.2678008518408928,0.4426092501849545,0.2608842724349289,0.21123258550586724,0.4163746945390532
