,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1100,"frozenset({'18-25, India, Secondary, Medium, Not Certified', 'CS50x'})",frozenset({'6.00x'}),0.002211147585596925,0.4380283367067508,0.0014627591720102733,0.6615384615384615,1.5102640767767161,1.0,0.0004942138728781045,1.660370823366418,0.3386128652068239,0.003333720975307206,0.39772490221642764,0.33243893915272005
947,"frozenset({'18-25, Egypt, Secondary, Low, Not Certified', '6.002x'})",frozenset({'6.00x'}),0.002891500688857517,0.4380283367067508,0.0019049886891296583,0.6588235294117647,1.504066002590218,1.0,0.0006384294518029759,1.6471583234457303,0.33610741517834297,0.004339235209794273,0.3928938185443669,0.3315862686471707
1032,"frozenset({'18-25, India, Secondary, Low, Not Certified', '8.02x'})",frozenset({'6.002x'}),0.013113806065347915,0.2925008079193101,0.008589457928664977,0.6549935149156939,2.2392878829120426,1.0,0.004753659059653562,2.050683748474481,0.5607834651997825,0.028918284372673658,0.5123577681132415,0.34217955096834296
1733,"frozenset({'26-35, United States, Secondary, Low, Not Certified', '6.002x'})",frozenset({'6.00x'}),0.003792968550677802,0.4380283367067508,0.002466279999319647,0.6502242152466368,1.484434135323866,1.0,0.0008048522938852343,1.6066625758255715,0.327585147156659,0.005613410243505866,0.3775917762407844,0.3279273136187364
345,"frozenset({""18-25, Unknown/Other, Bachelor's, Low, Not Certified""})",frozenset({'CB22x'}),0.0035208273093735648,0.17546306533090675,0.002279182895922984,0.6473429951690821,3.6893405113392634,1.0,0.0016614077437195297,2.3380704859794834,0.7315244179878948,0.012898257772644143,0.5722968978067092,0.3301662629974918
1736,"frozenset({'CS50x', '26-35, United States, Secondary, Low, Not Certified'})",frozenset({'6.00x'}),0.0038099773782593166,0.4380283367067508,0.002466279999319647,0.6473214285714286,1.4778071972197415,1.0,0.0007974019454303715,1.5934386402238967,0.3245583017025012,0.0056131929389904,0.3724264149515739,0.3264759202811323
1184,"frozenset({'CS50x', ""18-25, Other Middle East/Central Asia, Bachelor's, Low, Not Certified""})",frozenset({'6.00x'}),0.002211147585596925,0.4380283367067508,0.0014287415168472437,0.6461538461538462,1.47514165638656,1.0,0.0004601962177150749,1.5881807875678784,0.3228127894357034,0.0032559401527190975,0.37034876140808354,0.3247078010328894
1552,"frozenset({""26-35, Other Europe, Master's, Low, Not Certified"", 'CS50x'})",frozenset({'6.00x'}),0.0023472182062490433,0.4380283367067508,0.0015137856547548178,0.644927536231884,1.4723420431670546,1.0,0.0004856375679837461,1.5826957047850692,0.32156477746947243,0.0034493450120145724,0.36816660525669365,0.32419172214071584
1224,"frozenset({""18-25, United Kingdom, Bachelor's, Low, Not Certified"", 'CS50x'})",frozenset({'6.00x'}),0.0020580681373632915,0.4380283367067508,0.00130967972377664,0.6363636363636364,1.4527910252291878,1.0,0.00040818756073823673,1.5454220740564353,0.3123125170439051,0.002984843198821568,0.3529275808936826,0.31967678964145396
3372,"frozenset({""18-25, India, Bachelor's, Low, Not Certified"", '6.00x', '3.091x'})",frozenset({'6.002x'}),0.0018199445512220842,0.2925008079193101,0.0011566002755430068,0.6355140186915889,2.1726914985715293,1.0,0.0006242650239422009,1.9410875269906112,0.5407254661398349,0.003945230912044558,0.4848248798186024,0.3197340983729503
